time,seconds_elapsed,z,y,x
1762798092463521800,0.009521728515625,-0.013243675231933594,0.007680773735046387,0.011563435196876526
1762798092480386300,0.02638623046875,-0.008458137512207031,-0.0018007159233093262,-0.01225021481513977
1762798092497240300,0.043240234375,-0.0036706924438476562,-0.0018930137157440186,-0.012268632650375366
1762798092514099200,0.06009912109375,-0.008456230163574219,-0.0019358471035957336,0.016476288437843323
1762798092645866500,0.191866455078125,-0.0071315765380859375,0.003185480833053589,-0.004329323768615723
1762798092662727400,0.2087275390625,-0.002918243408203125,0.00996900349855423,-0.005910888314247131
1762798092679594000,0.225593994140625,-0.007809638977050781,-0.0010105594992637634,0.0067916810512542725
1762798092696469200,0.24246923828125,-0.004787445068359375,0.0048665851354599,-0.0015382319688796997
1762798092713333800,0.259333740234375,-0.014027595520019531,0.0036227181553840637,0.002276495099067688
1762798092730202000,0.2762021484375,0.011587142944335938,0.005626894533634186,-0.00011599063873291016
1762798092747058000,0.293057861328125,-0.011037826538085938,0.0018580257892608643,0.005382910370826721
1762798092763940000,0.309940185546875,-0.013570785522460938,0.0010113492608070374,0.00041049718856811523
1762798092780807400,0.326807373046875,-0.009146690368652344,-0.0018968209624290466,0.002752259373664856
1762798092797672700,0.343672607421875,-0.010781288146972656,0.002283751964569092,0.00034396350383758545
1762798092814546200,0.360546142578125,-0.0019979476928710938,0.0029395371675491333,-0.006110921502113342
1762798092831411200,0.3774111328125,-0.01728057861328125,0.0026927366852760315,-0.009201794862747192
1762798092848283600,0.39428369140625,-0.012277603149414062,-0.008372485637664795,0.0016369819641113281
1762798092865141800,0.411141845703125,-0.012537956237792969,0.0035320818424224854,-0.0011197030544281006
1762798092882005000,0.4280048828125,-0.011042594909667969,0.000007644295692443848,0.0046887993812561035
1762798092898880000,0.4448798828125,-0.0021543502807617188,0.0028171613812446594,0.00665244460105896
1762798092915750700,0.461750732421875,-0.011898994445800781,0.0006293132901191711,0.0012772828340530396
1762798092932625200,0.478625244140625,-0.0022916793823242188,0.003997594118118286,-0.007181540131568909
1762798092949495800,0.495495849609375,-0.011077880859375,-0.004286251962184906,0.010014846920967102
