# Target Sample Rate: 200 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-11-06 23:43:56.086
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
23:43:57:323,-0.0063,0.0009,-0.0201,0.02
23:43:57:345,-0.0063,0.0151,-0.0105,0.02
23:43:57:368,-0.0017,0.0150,-0.0102,0.02
23:43:57:384,-0.0159,0.0054,-0.0097,0.02
23:43:57:398,-0.0017,0.0007,-0.0047,0.01
23:43:57:399,-0.0160,0.0054,-0.0094,0.02
23:43:57:400,-0.0111,0.0102,-0.0046,0.02
23:43:57:413,-0.0016,0.0054,-0.0093,0.01
23:43:57:414,-0.0111,0.0101,-0.0045,0.02
23:43:57:414,-0.0016,0.0054,0.0051,0.01
23:43:57:429,-0.0112,0.0054,0.0050,0.01
23:43:57:429,-0.0064,0.0054,0.0050,0.01
23:43:57:430,-0.0064,0.0054,0.0049,0.01
23:43:57:445,-0.0159,0.0101,-0.0093,0.02
23:43:57:454,-0.0111,0.0101,-0.0046,0.02
23:43:57:459,-0.0063,0.0053,0.0050,0.01
23:43:57:477,-0.0063,0.0006,0.0049,0.01
23:43:57:495,-0.0110,0.0007,0.0097,0.01
23:43:57:521,-0.0062,-0.0089,0.0049,0.01
23:43:57:542,-0.0060,0.0051,0.0001,0.01
23:43:57:550,-0.0108,0.0052,-0.0001,0.01
23:43:57:554,-0.0059,0.0148,-0.0001,0.02
23:43:57:559,-0.0107,0.0052,0.0094,0.02
23:43:57:569,-0.0059,0.0100,0.0046,0.01
23:43:57:569,-0.0107,0.0100,-0.0002,0.01
23:43:57:574,-0.0012,0.0051,0.0046,0.01
23:43:57:589,0.0035,0.0004,-0.0002,0.00
23:43:57:608,-0.0061,0.0052,-0.0051,0.01
23:43:57:620,-0.0015,0.0099,-0.0003,0.01
23:43:57:620,-0.0110,0.0052,0.0139,0.02
23:43:57:625,-0.0110,-0.0043,-0.0005,0.01
23:43:57:642,0.0033,0.0148,0.0043,0.02
23:43:57:662,-0.0016,0.0099,0.0090,0.01
23:43:57:678,-0.0112,0.0147,0.0090,0.02
23:43:57:693,-0.0111,0.0052,0.0041,0.01
23:43:57:693,-0.0015,0.0052,-0.0149,0.02
23:43:57:694,-0.0063,0.0053,0.0089,0.01
23:43:57:710,-0.0110,-0.0044,0.0088,0.01
23:43:57:715,-0.0013,0.0054,0.0085,0.01
23:43:57:725,-0.0062,0.0102,0.0036,0.01
23:43:57:743,-0.0062,0.0102,0.0083,0.01
23:43:57:750,-0.0061,0.0103,-0.0014,0.01
23:43:57:755,-0.0061,0.0054,0.0081,0.01
23:43:57:761,-0.0061,0.0054,0.0033,0.01
23:43:57:779,-0.0203,0.0055,0.0032,0.02
23:43:57:785,-0.0061,0.0102,0.0125,0.02
23:43:57:790,-0.0108,0.0101,0.0077,0.02
23:43:57:805,-0.0013,0.0054,0.0219,0.02
23:43:57:829,-0.0063,0.0054,-0.0022,0.01
23:43:57:849,-0.0015,0.0100,0.0118,0.02
23:43:57:850,-0.0110,0.0100,0.0117,0.02
23:43:57:862,0.0037,0.0051,0.0115,0.01
23:43:57:863,0.0036,0.0098,0.0114,0.02
23:43:57:875,0.0082,0.0051,0.0113,0.01
23:43:57:890,-0.0015,0.0146,0.0158,0.02
23:43:57:904,-0.0063,0.0098,0.0154,0.02
23:43:57:905,-0.0111,0.0097,0.0201,0.02
23:43:57:905,-0.0016,0.0049,0.0057,0.01
23:43:57:918,-0.0159,0.0049,0.0103,0.02
23:43:57:920,-0.0016,0.0144,0.0102,0.02
23:43:57:925,-0.0159,0.0048,0.0101,0.02
23:43:57:937,-0.0110,0.0096,0.0053,0.02
23:43:57:953,-0.0156,0.0047,0.0098,0.02
23:43:57:968,-0.0013,-0.0048,0.0237,0.02
23:43:57:975,-0.0110,0.0049,0.0137,0.02
23:43:57:993,-0.0062,0.0097,-0.0007,0.01
23:43:58:000,-0.0062,0.0097,0.0181,0.02
23:43:58:006,-0.0110,0.0096,0.0085,0.02
23:43:58:010,0.0033,0.0049,0.0132,0.01
23:43:58:030,-0.0014,0.0048,0.0178,0.02
23:43:58:046,-0.0064,0.0002,0.0078,0.01
23:43:58:051,-0.0066,0.0050,0.0124,0.01
23:43:58:057,-0.0066,-0.0046,0.0028,0.01
23:43:58:062,-0.0019,0.0003,0.0123,0.01
23:43:58:082,-0.0162,0.0098,0.0074,0.02
23:43:58:097,-0.0114,0.0051,0.0119,0.02
23:43:58:097,-0.0066,0.0052,0.0070,0.01
23:43:58:098,-0.0066,0.0099,0.0117,0.02
23:43:58:108,-0.0066,0.0100,0.0069,0.01
23:43:58:112,-0.0066,0.0005,0.0068,0.01
23:43:58:138,-0.0065,0.0053,0.0162,0.02
23:43:58:157,-0.0015,0.0100,0.0159,0.02
23:43:58:175,-0.0062,0.0101,0.0060,0.01
23:43:58:193,-0.0157,-0.0042,0.0152,0.02
23:43:58:198,0.0034,0.0053,0.0054,0.01
23:43:58:207,-0.0062,0.0053,0.0148,0.02
23:43:58:231,-0.0063,0.0101,0.0099,0.02
23:43:58:250,-0.0156,0.0053,0.0002,0.02
23:43:58:257,-0.0154,0.0006,0.0001,0.02
23:43:58:276,-0.0011,0.0149,0.0143,0.02
23:43:58:293,-0.0154,0.0006,0.0046,0.02
23:43:58:301,0.0036,0.0149,0.0092,0.02
23:43:58:307,-0.0107,0.0053,-0.0003,0.01
23:43:58:312,-0.0012,0.0054,0.0092,0.01
23:43:58:332,-0.0155,0.0101,-0.0004,0.02
23:43:58:337,0.0037,0.0005,0.0090,0.01
23:43:58:343,-0.0012,0.0197,0.0137,0.02
23:43:58:360,-0.0060,0.0101,0.0041,0.01
23:43:58:367,-0.0109,0.0052,0.0086,0.01
23:43:58:373,-0.0061,0.0052,0.0133,0.02
23:43:58:378,-0.0108,0.0053,0.0132,0.02
23:43:58:399,-0.0108,-0.0042,0.0036,0.01
23:43:58:408,0.0081,0.0053,0.0033,0.01
23:43:58:429,-0.0110,0.0148,0.0080,0.02
23:43:58:445,-0.0109,0.0099,0.0124,0.02
23:43:58:453,-0.0062,0.0100,0.0121,0.02
23:43:58:458,-0.0014,0.0052,-0.0022,0.01
23:43:58:482,-0.0109,0.0053,-0.0022,0.01
23:43:58:496,-0.0108,0.0101,-0.0024,0.01
23:43:58:497,-0.0203,0.0053,0.0024,0.02
23:43:58:499,-0.0106,0.0053,-0.0024,0.01
23:43:58:504,-0.0010,0.0053,0.0024,0.01
23:43:58:509,-0.0153,0.0005,0.0071,0.02
23:43:58:532,-0.0057,0.0006,0.0118,0.01
23:43:58:543,-0.0010,0.0055,-0.0028,0.01
23:43:58:545,-0.0057,0.0007,0.0020,0.01
23:43:58:549,-0.0010,0.0102,0.0115,0.02
23:43:58:555,-0.0105,0.0007,0.0067,0.01
23:43:58:559,-0.0057,0.0054,0.0066,0.01
23:43:58:583,-0.0105,0.0149,0.0065,0.02
23:43:58:589,-0.0055,0.0005,0.0064,0.01
23:43:58:593,-0.0008,0.0052,-0.0031,0.01
23:43:58:612,-0.0103,0.0100,0.0064,0.02
23:43:58:625,-0.0055,0.0006,0.0204,0.02
23:43:58:626,-0.0055,0.0053,-0.0035,0.01
23:43:58:628,-0.0054,0.0006,0.0108,0.01
23:43:58:634,-0.0102,0.0054,0.0012,0.01
23:43:58:640,-0.0054,0.0102,0.0060,0.01
23:43:58:644,-0.0102,0.0054,0.0154,0.02
23:43:58:665,-0.0101,0.0054,0.0010,0.01
23:43:58:682,-0.0052,0.0054,0.0008,0.01
23:43:58:689,-0.0054,0.0005,0.0053,0.01
23:43:58:694,-0.0101,0.0006,0.0100,0.01
23:43:58:712,-0.0053,0.0007,0.0004,0.01
23:43:58:719,-0.0055,0.0055,0.0335,0.03
23:43:58:724,-0.0054,0.0055,-0.0237,0.02
23:43:58:729,-0.0054,0.0008,0.0192,0.02
23:43:58:748,-0.0054,0.0103,-0.0047,0.01
23:43:58:768,-0.0102,0.0055,-0.0048,0.01
23:43:58:774,-0.0099,0.0149,-0.0001,0.02
23:43:58:779,-0.0099,0.0196,0.0047,0.02
23:43:58:793,-0.0051,-0.0043,-0.0143,0.02
23:43:58:809,-0.0004,0.0101,0.0047,0.01
23:43:58:827,-0.0052,0.0101,-0.0141,0.02
23:43:58:838,-0.0053,0.0053,-0.0090,0.01
23:43:58:838,-0.0053,0.0148,0.0005,0.02
23:43:58:854,-0.0006,0.0147,0.0006,0.01
23:43:58:872,-0.0054,0.0098,-0.0134,0.02
23:43:58:899,-0.0054,0.0049,-0.0037,0.01
23:43:58:904,-0.0100,0.0097,-0.0126,0.02
23:43:58:909,-0.0052,0.0002,-0.0220,0.02
23:43:58:923,-0.0004,0.0050,-0.0218,0.02
23:43:58:924,-0.0052,0.0097,-0.0122,0.02
23:43:58:924,-0.0100,0.0050,-0.0263,0.03
23:43:58:929,-0.0053,0.0049,-0.0261,0.03
23:43:58:943,-0.0149,0.0002,-0.0116,0.02
23:43:58:944,-0.0053,0.0002,-0.0210,0.02
23:43:58:946,-0.0053,0.0097,-0.0208,0.02
23:43:58:956,-0.0053,0.0097,-0.0112,0.02
23:43:58:956,-0.0100,0.0049,-0.0158,0.02
23:43:58:972,-0.0052,0.0097,-0.0251,0.03
23:43:58:988,-0.0052,0.0050,-0.0244,0.03
23:43:58:994,-0.0149,0.0003,-0.0191,0.02
23:43:59:005,-0.0053,0.0003,-0.0190,0.02
23:43:59:006,-0.0053,0.0003,-0.0188,0.02
23:43:59:010,-0.0101,0.0146,-0.0329,0.04
23:43:59:023,-0.0054,0.0050,-0.0279,0.03
23:43:59:023,-0.0149,0.0146,-0.0276,0.03
23:43:59:025,-0.0100,0.0098,-0.0274,0.03
23:43:59:043,-0.0053,0.0050,-0.0272,0.03
23:43:59:062,-0.0054,0.0098,-0.0264,0.03
23:43:59:071,-0.0007,0.0193,-0.0253,0.03
23:43:59:075,-0.0008,0.0001,-0.0251,0.03
23:43:59:097,0.0040,0.0002,-0.0344,0.03
23:43:59:106,-0.0011,0.0050,-0.0331,0.03
23:43:59:111,-0.0154,0.0145,-0.0376,0.04
23:43:59:127,-0.0106,0.0097,-0.0325,0.04
23:43:59:144,-0.0106,0.0096,-0.0316,0.03
23:43:59:159,-0.0059,0.0049,-0.0351,0.04
23:43:59:159,-0.0013,0.0002,-0.0443,0.04
23:43:59:160,-0.0061,0.0050,-0.0392,0.04
23:43:59:175,-0.0155,0.0097,-0.0389,0.04
23:43:59:192,-0.0156,0.0097,-0.0425,0.05
23:43:59:211,-0.0108,0.0002,-0.0460,0.05
23:43:59:229,-0.0110,0.0099,-0.0449,0.05
23:43:59:242,-0.0062,0.0051,-0.0481,0.05
23:43:59:242,-0.0110,0.0051,-0.0572,0.06
23:43:59:246,-0.0015,0.0051,-0.0520,0.05
23:43:59:260,-0.0110,0.0052,-0.0516,0.05
23:43:59:273,-0.0112,0.0100,-0.0598,0.06
23:43:59:273,-0.0159,0.0148,-0.0498,0.05
23:43:59:276,-0.0063,0.0051,-0.0446,0.05
23:43:59:295,-0.0064,0.0099,-0.0442,0.05
23:43:59:313,-0.0065,0.0052,-0.0381,0.04
23:43:59:324,-0.0112,0.0005,-0.0464,0.05
23:43:59:325,-0.0064,0.0148,-0.0413,0.04
23:43:59:340,0.0032,0.0052,-0.0453,0.05
23:43:59:347,-0.0064,0.0052,-0.0536,0.05
23:43:59:359,-0.0064,0.0100,-0.0389,0.04
23:43:59:360,-0.0016,0.0099,-0.0434,0.04
23:43:59:361,-0.0064,0.0099,-0.0525,0.05
23:43:59:377,-0.0063,0.0051,-0.0473,0.05
23:43:59:399,-0.0017,0.0145,-0.0414,0.04
23:43:59:416,-0.0063,0.0049,-0.0447,0.05
23:43:59:430,-0.0062,0.0097,-0.0341,0.04
23:43:59:431,-0.0109,0.0097,-0.0386,0.04
23:43:59:431,-0.0157,0.0049,-0.0382,0.04
23:43:59:445,-0.0108,0.0097,-0.0423,0.04
23:43:59:445,-0.0108,0.0050,-0.0325,0.03
23:43:59:446,-0.0060,0.0003,-0.0370,0.04
23:43:59:461,-0.0108,0.0099,-0.0414,0.04
23:43:59:477,-0.0013,0.0003,-0.0356,0.04
23:43:59:493,-0.0156,0.0004,-0.0300,0.03
23:43:59:509,-0.0111,0.0050,-0.0289,0.03
23:43:59:528,-0.0109,0.0098,-0.0376,0.04
23:43:59:546,-0.0109,0.0003,-0.0224,0.02
23:43:59:552,-0.0110,0.0052,-0.0166,0.02
23:43:59:558,-0.0016,0.0051,-0.0164,0.02
23:43:59:563,-0.0111,0.0004,-0.0353,0.04
23:43:59:576,-0.0064,0.0146,-0.0160,0.02
