# Target Sample Rate: 200 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-11-06 23:43:56.086
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
23:44:28:352,-0.0033,0.0059,-0.0114,0.01
23:44:28:367,-0.0128,0.0059,-0.0065,0.02
23:44:28:367,-0.0081,0.0107,-0.0017,0.01
23:44:28:367,-0.0080,0.0107,0.0078,0.02
23:44:28:375,-0.0128,0.0060,-0.0018,0.01
23:44:28:385,-0.0080,0.0012,-0.0017,0.01
23:44:28:386,-0.0127,0.0060,0.0031,0.01
23:44:28:395,-0.0079,0.0013,0.0078,0.01
23:44:28:396,-0.0032,0.0061,0.0030,0.01
23:44:28:401,-0.0079,0.0060,-0.0065,0.01
23:44:28:413,-0.0080,0.0060,-0.0017,0.01
23:44:28:430,-0.0080,0.0157,-0.0018,0.02
23:44:28:447,-0.0032,0.0062,0.0124,0.01
23:44:28:452,-0.0127,0.0109,-0.0067,0.02
23:44:28:460,-0.0079,0.0156,-0.0019,0.02
23:44:28:467,-0.0174,0.0060,0.0028,0.02
23:44:28:481,-0.0078,0.0061,0.0123,0.02
23:44:28:487,-0.0125,0.0061,0.0074,0.02
23:44:28:497,-0.0029,-0.0034,0.0026,0.01
23:44:28:497,-0.0125,0.0110,0.0073,0.02
23:44:28:503,-0.0029,0.0109,0.0025,0.01
23:44:28:515,-0.0124,0.0157,0.0025,0.02
23:44:28:516,0.0019,0.0109,0.0072,0.01
23:44:28:517,-0.0076,0.0108,0.0119,0.02
23:44:28:531,-0.0076,0.0109,0.0071,0.02
23:44:28:536,-0.0124,0.0014,0.0068,0.01
23:44:28:541,-0.0029,0.0110,0.0115,0.02
23:44:28:547,-0.0124,0.0062,0.0067,0.02
23:44:28:551,-0.0076,0.0157,0.0019,0.02
23:44:28:562,-0.0076,0.0157,0.0114,0.02
23:44:28:563,-0.0076,0.0204,0.0113,0.02
23:44:28:567,-0.0171,0.0109,0.0017,0.02
23:44:28:579,-0.0028,0.0061,0.0112,0.01
23:44:28:579,-0.0124,0.0061,0.0063,0.02
23:44:28:583,-0.0076,0.0014,0.0063,0.01
23:44:28:588,-0.0075,0.0109,0.0015,0.01
23:44:28:598,-0.0076,0.0062,0.0110,0.01
23:44:28:599,-0.0028,0.0110,0.0061,0.01
23:44:28:602,-0.0124,0.0015,0.0203,0.02
23:44:28:615,-0.0028,0.0063,0.0059,0.01
23:44:28:616,-0.0075,0.0062,0.0059,0.01
23:44:28:617,-0.0027,0.0110,0.0011,0.01
23:44:28:632,0.0020,0.0062,0.0010,0.01
23:44:28:651,-0.0076,0.0013,0.0104,0.01
23:44:28:667,-0.0078,0.0157,0.0101,0.02
23:44:28:682,-0.0173,0.0109,0.0098,0.02
23:44:28:683,-0.0077,0.0204,0.0192,0.03
23:44:28:684,-0.0124,0.0060,0.0048,0.01
23:44:28:700,-0.0029,0.0060,0.0143,0.02
23:44:28:716,-0.0028,0.0109,0.0090,0.01
23:44:28:733,-0.0027,0.0204,0.0040,0.02
23:44:28:750,0.0019,0.0061,0.0086,0.01
23:44:28:768,-0.0077,0.0062,0.0131,0.02
23:44:28:784,-0.0077,0.0063,0.0129,0.02
23:44:28:800,-0.0126,0.0110,0.0079,0.02
23:44:28:818,-0.0028,0.0157,0.0123,0.02
23:44:28:833,-0.0077,0.0204,0.0216,0.03
23:44:28:850,-0.0076,0.0059,0.0118,0.02
23:44:28:866,-0.0078,0.0014,0.0067,0.01
23:44:28:883,-0.0030,0.0063,0.0065,0.01
23:44:28:903,-0.0031,0.0064,0.0063,0.01
23:44:28:913,0.0015,0.0206,0.0061,0.02
23:44:28:914,-0.0177,0.0110,0.0155,0.03
23:44:28:920,-0.0176,0.0109,0.0106,0.02
23:44:28:931,-0.0080,0.0156,0.0200,0.03
23:44:28:931,-0.0080,0.0013,0.0104,0.01
23:44:28:934,-0.0175,0.0108,0.0150,0.03
23:44:28:950,-0.0079,0.0013,-0.0041,0.01
23:44:28:968,-0.0126,0.0013,0.0051,0.01
23:44:28:984,-0.0078,0.0061,0.0145,0.02
23:44:28:999,-0.0029,0.0108,0.0047,0.01
23:44:29:000,-0.0125,0.0107,0.0094,0.02
23:44:29:001,-0.0077,0.0155,0.0141,0.02
23:44:29:016,-0.0077,0.0202,0.0092,0.02
23:44:29:033,-0.0078,0.0059,0.0043,0.01
23:44:29:050,-0.0077,-0.0082,0.0089,0.01
23:44:29:069,-0.0030,0.0108,0.0087,0.01
23:44:29:087,-0.0030,0.0155,0.0132,0.02
23:44:29:099,-0.0079,0.0107,-0.0012,0.01
23:44:29:100,-0.0031,0.0059,0.0036,0.01
23:44:29:105,-0.0079,0.0059,0.0082,0.01
23:44:29:121,-0.0080,0.0108,0.0082,0.02
23:44:29:130,-0.0175,0.0109,-0.0016,0.02
23:44:29:135,-0.0080,0.0156,0.0079,0.02
23:44:29:155,-0.0127,0.0061,0.0126,0.02
23:44:29:175,-0.0173,0.0061,0.0029,0.02
23:44:29:194,-0.0031,0.0059,0.0074,0.01
23:44:29:200,-0.0031,0.0059,0.0166,0.02
23:44:29:220,-0.0221,0.0059,0.0069,0.02
23:44:29:241,-0.0171,0.0012,0.0114,0.02
23:44:29:251,-0.0076,0.0059,-0.0030,0.01
23:44:29:271,-0.0075,0.0011,0.0112,0.01
23:44:29:288,-0.0030,0.0154,0.0063,0.02
23:44:29:296,-0.0077,0.0154,0.0062,0.02
23:44:29:302,-0.0125,0.0106,0.0014,0.02
23:44:29:323,-0.0076,0.0011,0.0062,0.01
23:44:29:341,-0.0078,0.0106,0.0154,0.02
23:44:29:347,-0.0030,0.0058,0.0104,0.01
23:44:29:352,-0.0124,0.0058,0.0103,0.02
23:44:29:374,-0.0029,0.0106,0.0007,0.01
23:44:29:386,-0.0030,0.0057,0.0006,0.01
23:44:29:391,0.0017,0.0152,0.0054,0.02
23:44:29:392,-0.0078,0.0152,0.0053,0.02
23:44:29:396,-0.0078,0.0008,0.0052,0.01
23:44:29:400,-0.0030,0.0056,0.0099,0.01
23:44:29:424,-0.0031,0.0009,0.0051,0.01
23:44:29:431,-0.0079,0.0152,0.0050,0.02
23:44:29:435,-0.0031,0.0151,0.0050,0.02
23:44:29:456,-0.0031,0.0103,0.0097,0.01
23:44:29:467,-0.0078,0.0055,-0.0000,0.01
23:44:29:467,-0.0031,0.0007,0.0095,0.01
23:44:29:480,-0.0127,0.0103,0.0046,0.02
23:44:29:481,-0.0080,-0.0040,0.0046,0.01
23:44:29:486,0.0015,0.0104,0.0093,0.01
23:44:29:497,-0.0034,0.0056,-0.0050,0.01
23:44:29:514,-0.0082,0.0104,0.0092,0.02
23:44:29:519,-0.0082,0.0057,0.0044,0.01
23:44:29:529,-0.0033,0.0058,-0.0004,0.01
23:44:29:531,-0.0080,0.0105,0.0091,0.02
23:44:29:536,-0.0176,0.0105,-0.0005,0.02
23:44:29:553,-0.0080,0.0201,-0.0005,0.02
23:44:29:563,-0.0173,0.0056,0.0043,0.02
23:44:29:566,-0.0077,0.0103,0.0090,0.02
23:44:29:571,-0.0029,0.0055,0.0042,0.01
23:44:29:583,-0.0125,0.0056,0.0041,0.01
23:44:29:583,-0.0124,0.0056,0.0136,0.02
23:44:29:587,-0.0076,0.0103,0.0087,0.02
23:44:29:602,-0.0077,0.0056,0.0039,0.01
23:44:29:620,-0.0077,0.0153,0.0134,0.02
23:44:29:638,0.0065,0.0104,0.0037,0.01
23:44:29:651,-0.0078,0.0057,0.0131,0.02
23:44:29:652,-0.0030,0.0104,-0.0013,0.01
23:44:29:669,-0.0032,0.0151,-0.0061,0.02
23:44:29:685,-0.0079,0.0103,0.0033,0.01
23:44:29:703,-0.0078,0.0152,0.0128,0.02
23:44:29:718,-0.0126,0.0104,-0.0015,0.02
23:44:29:735,-0.0079,0.0105,0.0032,0.01
23:44:29:751,-0.0126,0.0152,0.0031,0.02
23:44:29:769,-0.0030,0.0057,0.0079,0.01
23:44:29:785,-0.0030,0.0058,0.0076,0.01
23:44:29:801,-0.0078,0.0011,0.0026,0.01
23:44:29:818,-0.0032,-0.0036,0.0072,0.01
23:44:29:835,-0.0080,0.0108,-0.0024,0.01
23:44:29:851,-0.0175,0.0108,0.0071,0.02
23:44:29:868,-0.0126,0.0060,-0.0024,0.01
23:44:29:895,-0.0124,0.0060,0.0024,0.01
23:44:29:903,-0.0078,0.0157,0.0024,0.02
23:44:29:918,-0.0125,0.0014,0.0072,0.01
23:44:29:923,0.0017,0.0110,0.0167,0.02
23:44:29:936,-0.0031,0.0062,0.0166,0.02
23:44:29:936,-0.0078,0.0110,0.0022,0.01
23:44:29:939,-0.0125,0.0157,0.0069,0.02
23:44:29:953,-0.0078,0.0109,0.0116,0.02
23:44:29:968,-0.0124,0.0061,-0.0075,0.02
23:44:29:969,-0.0172,0.0014,-0.0074,0.02
23:44:29:969,-0.0076,0.0110,0.0021,0.01
23:44:29:973,-0.0077,0.0110,0.0021,0.01
23:44:29:985,-0.0077,0.0062,-0.0026,0.01
23:44:29:986,-0.0077,0.0110,0.0021,0.01
23:44:29:989,-0.0125,0.0015,0.0021,0.01
23:44:30:002,-0.0077,0.0063,0.0068,0.01
23:44:30:003,-0.0078,0.0063,0.0020,0.01
23:44:30:004,-0.0078,0.0016,0.0020,0.01
23:44:30:019,-0.0078,0.0065,0.0020,0.01
23:44:30:035,-0.0126,0.0160,0.0066,0.02
23:44:30:053,-0.0077,0.0018,-0.0029,0.01
23:44:30:071,-0.0126,0.0066,0.0113,0.02
23:44:30:088,-0.0078,0.0068,-0.0031,0.01
23:44:30:102,-0.0125,0.0020,0.0015,0.01
23:44:30:103,-0.0171,0.0116,-0.0033,0.02
23:44:30:103,-0.0123,-0.0026,0.0015,0.01
23:44:30:118,-0.0123,0.0069,0.0015,0.01
23:44:30:124,0.0018,-0.0026,0.0014,0.00
23:44:30:135,-0.0030,0.0023,0.0014,0.00
23:44:30:137,-0.0030,0.0118,0.0014,0.01
23:44:30:139,-0.0077,0.0070,0.0109,0.02
23:44:30:152,-0.0077,0.0070,0.0060,0.01
23:44:30:152,-0.0030,0.0069,-0.0083,0.01
23:44:30:155,-0.0077,0.0117,-0.0034,0.01
23:44:30:170,-0.0029,0.0069,-0.0034,0.01
23:44:30:186,-0.0172,0.0022,0.0061,0.02
23:44:30:203,-0.0076,0.0068,0.0014,0.01
23:44:30:221,-0.0076,0.0069,-0.0034,0.01
23:44:30:238,-0.0075,0.0163,0.0061,0.02
23:44:30:255,-0.0122,0.0067,-0.0081,0.02
23:44:30:274,0.0021,0.0161,0.0016,0.02
23:44:30:285,0.0020,0.0115,0.0017,0.01
23:44:30:286,-0.0171,0.0114,0.0064,0.02
23:44:30:290,0.0020,0.0114,0.0016,0.01
23:44:30:304,-0.0123,0.0019,-0.0079,0.01
23:44:30:305,-0.0075,0.0067,-0.0031,0.01
23:44:30:305,-0.0027,0.0162,0.0017,0.02
23:44:30:320,-0.0027,0.0114,-0.0031,0.01
23:44:30:338,-0.0029,0.0066,0.0018,0.01
23:44:30:353,-0.0078,0.0065,-0.0077,0.01
23:44:30:370,-0.0125,0.0113,0.0019,0.02
23:44:30:387,-0.0124,0.0113,-0.0077,0.02
23:44:30:403,-0.0076,0.0207,-0.0030,0.02
23:44:30:413,-0.0028,0.0064,-0.0029,0.01
23:44:30:414,-0.0123,0.0111,-0.0124,0.02
23:44:30:425,-0.0122,0.0063,-0.0028,0.01
23:44:30:425,-0.0122,0.0064,0.0020,0.01
23:44:30:430,-0.0026,0.0016,0.0114,0.01
23:44:30:435,-0.0026,0.0111,-0.0029,0.01
23:44:30:440,-0.0074,0.0016,-0.0124,0.01
23:44:30:458,-0.0026,0.0064,-0.0028,0.01
23:44:30:478,-0.0076,0.0065,-0.0026,0.01
23:44:30:485,-0.0028,0.0114,0.0020,0.01
23:44:30:491,-0.0123,0.0114,-0.0027,0.02
23:44:30:499,-0.0123,0.0065,0.0115,0.02
23:44:30:501,-0.0027,0.0113,0.0067,0.01
23:44:30:506,-0.0075,0.0065,0.0066,0.01
23:44:30:521,-0.0075,0.0065,0.0018,0.01
23:44:30:531,-0.0028,0.0112,-0.0031,0.01
23:44:30:535,-0.0076,0.0065,0.0016,0.01
23:44:30:540,-0.0028,0.0017,-0.0031,0.00
23:44:30:549,-0.0124,0.0113,0.0017,0.02
23:44:30:551,-0.0123,0.0066,0.0016,0.01
23:44:30:555,0.0019,0.0113,-0.0126,0.02
23:44:30:567,-0.0029,0.0161,-0.0030,0.02
23:44:30:584,-0.0122,0.0065,0.0017,0.01
23:44:30:591,-0.0075,0.0064,-0.0125,0.02
23:44:30:603,-0.0027,0.0111,0.0018,0.01
23:44:30:604,-0.0075,0.0064,-0.0030,0.01
23:44:30:607,-0.0028,0.0112,-0.0077,0.01
23:44:30:622,-0.0171,0.0065,-0.0029,0.02
23:44:30:641,-0.0029,0.0113,0.0066,0.01
23:44:30:658,-0.0124,0.0065,-0.0078,0.02
23:44:30:672,-0.0077,0.0065,-0.0030,0.01
23:44:30:672,-0.0125,0.0065,-0.0077,0.02
23:44:30:672,-0.0076,0.0018,-0.0124,0.01
23:44:30:687,-0.0029,0.0161,-0.0028,0.02
23:44:30:688,-0.0124,0.0065,-0.0028,0.01
23:44:30:688,-0.0077,0.0113,0.0163,0.02
23:44:30:703,-0.0125,0.0066,0.0066,0.02
23:44:30:722,-0.0029,0.0115,-0.0030,0.01
23:44:30:739,0.0018,0.0115,-0.0125,0.02
23:44:30:754,-0.0078,0.0067,0.0018,0.01
23:44:30:754,-0.0030,0.0068,-0.0077,0.01
23:44:30:757,-0.0030,0.0115,-0.0076,0.01
23:44:30:772,-0.0078,0.0114,0.0020,0.01
23:44:30:790,-0.0079,0.0114,-0.0075,0.02
23:44:30:801,-0.0127,0.0114,0.0022,0.02
23:44:30:801,-0.0079,0.0067,0.0022,0.01
23:44:30:807,-0.0126,0.0115,-0.0073,0.02
23:44:30:819,-0.0173,0.0067,0.0022,0.02
23:44:30:820,-0.0077,0.0020,-0.0025,0.01
23:44:30:822,-0.0030,0.0068,0.0022,0.01
23:44:30:838,-0.0126,0.0163,-0.0025,0.02
23:44:30:854,-0.0028,0.0114,-0.0118,0.02
23:44:30:871,-0.0028,0.0162,0.0025,0.02
23:44:30:887,-0.0075,0.0160,-0.0022,0.02
23:44:30:904,-0.0075,0.0112,-0.0068,0.02
23:44:30:922,-0.0169,0.0065,-0.0020,0.02
23:44:30:937,-0.0072,0.0113,-0.0019,0.01
23:44:30:953,-0.0024,0.0017,-0.0065,0.01
23:44:30:971,-0.0120,0.0064,-0.0062,0.01
23:44:30:989,-0.0072,0.0063,-0.0062,0.01
23:44:31:005,-0.0119,0.0016,-0.0108,0.02
23:44:31:021,-0.0119,0.0208,-0.0013,0.02
23:44:31:038,-0.0071,0.0065,-0.0108,0.01
23:44:31:053,-0.0119,0.0017,-0.0011,0.01
23:44:31:071,-0.0024,0.0017,-0.0010,0.00
23:44:31:088,-0.0070,0.0064,0.0086,0.01
23:44:31:106,-0.0070,0.0064,-0.0010,0.01
23:44:31:123,-0.0071,0.0063,-0.0010,0.01
23:44:31:138,-0.0119,0.0063,-0.0103,0.02
23:44:31:139,-0.0166,0.0063,0.0040,0.02
23:44:31:139,-0.0118,0.0016,-0.0055,0.01
23:44:31:154,-0.0022,0.0111,-0.0007,0.01
23:44:31:170,-0.0163,0.0157,0.0040,0.02
23:44:31:188,-0.0069,0.0108,-0.0056,0.01
23:44:31:206,-0.0165,0.0107,-0.0056,0.02
23:44:31:226,-0.0164,0.0108,-0.0056,0.02
23:44:31:234,-0.0162,0.0107,-0.0055,0.02
23:44:31:238,-0.0066,0.0106,0.0136,0.02
23:44:31:244,-0.0066,0.0154,-0.0008,0.02
23:44:31:260,-0.0066,0.0011,-0.0008,0.01
23:44:31:265,0.0029,0.0154,-0.0056,0.02
23:44:31:270,-0.0066,0.0106,0.0039,0.01
23:44:31:275,-0.0019,0.0057,0.0086,0.01
23:44:31:293,-0.0114,0.0104,-0.0009,0.02
23:44:31:299,-0.0115,0.0153,0.0038,0.02
23:44:31:304,-0.0210,0.0104,-0.0010,0.02
23:44:31:310,-0.0115,-0.0039,-0.0010,0.01
23:44:31:328,0.0029,0.0057,0.0038,0.01
23:44:31:335,-0.0114,0.0152,0.0085,0.02
23:44:31:341,-0.0161,0.0104,-0.0059,0.02
23:44:31:357,-0.0018,0.0103,-0.0058,0.01
23:44:31:372,-0.0018,0.0056,0.0036,0.01
23:44:31:372,-0.0067,0.0104,-0.0012,0.01
23:44:31:374,-0.0067,0.0103,0.0083,0.01
23:44:31:392,-0.0019,0.0055,0.0083,0.01
23:44:31:407,0.0029,0.0056,0.0082,0.01
23:44:31:408,-0.0020,0.0104,0.0081,0.01
23:44:31:409,-0.0068,0.0103,0.0033,0.01
23:44:31:420,-0.0020,0.0056,0.0080,0.01
23:44:31:420,-0.0068,0.0009,0.0032,0.01
23:44:31:426,-0.0069,0.0057,-0.0110,0.01
23:44:31:439,-0.0021,0.0153,-0.0110,0.02
23:44:31:452,-0.0165,0.0057,0.0082,0.02
23:44:31:453,-0.0022,0.0010,-0.0014,0.00
23:44:31:459,-0.0023,0.0058,-0.0061,0.01
23:44:31:470,-0.0166,0.0010,-0.0013,0.02
23:44:31:487,0.0025,0.0108,-0.0013,0.01
23:44:31:503,-0.0118,0.0155,0.0081,0.02
23:44:31:509,-0.0118,0.0107,0.0035,0.02
23:44:31:520,-0.0118,0.0106,-0.0060,0.02
23:44:31:520,-0.0023,0.0059,-0.0012,0.01
23:44:31:526,-0.0071,0.0201,-0.0107,0.02
23:44:31:538,-0.0071,0.0152,-0.0011,0.02
23:44:31:553,-0.0071,0.0057,-0.0106,0.01
23:44:31:554,-0.0070,0.0057,-0.0010,0.01
23:44:31:554,-0.0164,0.0104,-0.0105,0.02
23:44:31:560,-0.0116,0.0056,0.0039,0.01
23:44:31:574,-0.0068,0.0104,-0.0057,0.01
23:44:31:588,-0.0069,0.0056,-0.0057,0.01
23:44:31:589,-0.0069,0.0151,-0.0009,0.02
23:44:31:590,-0.0117,-0.0039,-0.0009,0.01
23:44:31:603,-0.0117,0.0010,-0.0104,0.02
23:44:31:604,-0.0069,0.0105,-0.0056,0.01
23:44:31:606,0.0074,0.0058,-0.0055,0.01
23:44:31:610,0.0025,0.0058,-0.0007,0.01
23:44:31:621,-0.0070,0.0105,0.0040,0.01
23:44:31:622,-0.0070,0.0057,-0.0103,0.01
23:44:31:626,-0.0023,0.0153,-0.0054,0.02
23:44:31:640,-0.0070,0.0105,-0.0101,0.02
23:44:31:660,-0.0070,0.0105,-0.0052,0.01
23:44:31:677,-0.0118,0.0056,-0.0005,0.01
23:44:31:693,-0.0069,0.0009,-0.0053,0.01
23:44:31:708,-0.0213,0.0152,-0.0005,0.03
23:44:31:709,-0.0069,0.0056,0.0042,0.01
23:44:31:709,-0.0069,0.0104,-0.0053,0.01
23:44:31:722,-0.0116,0.0104,-0.0099,0.02
23:44:31:722,0.0027,0.0104,-0.0051,0.01
23:44:31:726,-0.0068,0.0056,-0.0098,0.01
23:44:31:738,-0.0116,-0.0039,0.0093,0.02
23:44:31:755,-0.0067,0.0056,-0.0051,0.01
23:44:31:762,-0.0114,0.0104,-0.0098,0.02
23:44:31:775,0.0029,0.0009,-0.0097,0.01
23:44:31:776,-0.0020,0.0105,-0.0143,0.02
23:44:31:777,-0.0163,-0.0038,0.0048,0.02
23:44:31:792,-0.0162,0.0106,-0.0000,0.02
23:44:31:810,-0.0020,0.0059,-0.0001,0.01
23:44:31:832,-0.0067,0.0155,0.0047,0.02
23:44:31:850,-0.0067,-0.0035,-0.0096,0.01
23:44:31:862,-0.0115,0.0058,-0.0141,0.02
23:44:31:863,-0.0115,0.0153,-0.0093,0.02
23:44:31:872,-0.0162,0.0106,-0.0044,0.02
23:44:31:873,-0.0066,0.0153,0.0004,0.02
23:44:31:876,-0.0066,0.0057,-0.0044,0.01
23:44:31:887,-0.0065,0.0010,-0.0044,0.01
23:44:31:888,-0.0113,0.0106,-0.0043,0.02
23:44:31:892,-0.0161,0.0010,0.0005,0.02
23:44:31:906,0.0030,0.0059,-0.0090,0.01
23:44:31:912,-0.0066,0.0107,0.0053,0.01
23:44:31:927,-0.0066,0.0107,-0.0042,0.01
23:44:31:948,-0.0066,0.0106,0.0053,0.01
23:44:31:968,-0.0161,0.0107,0.0054,0.02
23:44:31:984,-0.0017,0.0156,0.0006,0.02
23:44:32:001,-0.0113,0.0108,-0.0043,0.02
23:44:32:007,-0.0066,0.0013,0.0005,0.01
23:44:32:012,-0.0113,0.0108,-0.0090,0.02
23:44:32:027,-0.0019,0.0013,0.0006,0.00
23:44:32:041,-0.0115,0.0061,0.0148,0.02
23:44:32:042,-0.0209,0.0062,0.0004,0.02
23:44:32:042,-0.0114,0.0014,-0.0044,0.01
23:44:32:055,-0.0066,0.0062,-0.0138,0.02
23:44:32:056,-0.0065,0.0110,0.0100,0.02
23:44:32:058,0.0030,0.0110,0.0052,0.01
23:44:32:063,-0.0113,0.0062,-0.0043,0.01
23:44:32:073,-0.0018,0.0157,0.0005,0.02
23:44:32:074,-0.0066,0.0109,0.0052,0.01
23:44:32:077,-0.0019,0.0109,0.0004,0.01
23:44:32:090,-0.0068,0.0203,-0.0043,0.02
23:44:32:091,-0.0163,0.0060,0.0004,0.02
23:44:32:093,-0.0067,0.0060,-0.0043,0.01
23:44:32:107,-0.0067,0.0013,-0.0090,0.01
23:44:32:124,-0.0020,0.0108,0.0005,0.01
23:44:32:140,-0.0022,0.0108,-0.0042,0.01
23:44:32:155,-0.0118,0.0014,-0.0090,0.01
23:44:32:174,-0.0165,0.0062,0.0006,0.02
23:44:32:192,-0.0069,0.0062,-0.0041,0.01
23:44:32:211,-0.0069,0.0014,-0.0039,0.01
23:44:32:224,-0.0071,0.0156,0.0009,0.02
23:44:32:225,0.0072,0.0061,-0.0039,0.01
23:44:32:229,-0.0120,0.0013,-0.0133,0.02
23:44:32:242,-0.0120,0.0109,0.0010,0.02
23:44:32:258,-0.0025,0.0062,-0.0083,0.01
23:44:32:273,-0.0073,0.0063,-0.0082,0.01
23:44:32:289,-0.0119,0.0111,-0.0033,0.02
23:44:32:307,-0.0119,0.0063,-0.0079,0.02
23:44:32:324,-0.0119,0.0111,-0.0030,0.02
23:44:32:341,-0.0072,0.0014,0.0018,0.01
23:44:32:357,-0.0023,0.0110,-0.0125,0.02
23:44:32:374,-0.0072,0.0062,0.0067,0.01
23:44:32:390,-0.0024,0.0111,-0.0028,0.01
23:44:32:407,-0.0166,0.0111,-0.0026,0.02
23:44:32:424,-0.0024,0.0111,-0.0027,0.01
23:44:32:435,-0.0119,0.0111,-0.0026,0.02
23:44:32:435,-0.0071,0.0064,-0.0026,0.01
23:44:32:447,-0.0024,0.0064,-0.0026,0.01
23:44:32:448,-0.0072,0.0112,0.0069,0.02
23:44:32:450,-0.0072,0.0112,0.0116,0.02
23:44:32:475,-0.0072,0.0063,0.0020,0.01
23:44:32:490,-0.0073,0.0064,-0.0028,0.01
23:44:32:490,-0.0073,0.0017,-0.0027,0.01
23:44:32:493,-0.0025,0.0112,0.0115,0.02
23:44:32:505,-0.0026,0.0017,-0.0028,0.00
23:44:32:505,-0.0026,0.0112,0.0115,0.02
23:44:32:508,-0.0075,0.0065,0.0066,0.01
23:44:32:520,-0.0122,0.0113,0.0018,0.02
23:44:32:537,-0.0074,0.0018,0.0064,0.01
23:44:32:545,-0.0075,0.0159,-0.0031,0.02
23:44:32:553,-0.0075,0.0112,-0.0030,0.01
23:44:32:554,-0.0170,0.0064,0.0017,0.02
23:44:32:559,-0.0026,0.0207,0.0065,0.02
23:44:32:571,-0.0027,0.0064,-0.0031,0.01
23:44:32:571,-0.0074,0.0064,0.0017,0.01
23:44:32:574,-0.0075,-0.0031,0.0017,0.01
23:44:32:579,-0.0074,0.0065,0.0017,0.01
23:44:32:588,-0.0170,0.0112,0.0017,0.02
23:44:32:589,-0.0074,0.0065,0.0016,0.01
23:44:32:594,-0.0122,0.0065,0.0111,0.02
23:44:32:604,-0.0026,0.0066,-0.0032,0.01
23:44:32:604,0.0021,0.0018,-0.0032,0.00
23:44:32:610,-0.0027,0.0066,-0.0032,0.01
23:44:32:625,-0.0122,0.0019,-0.0031,0.01
23:44:32:643,-0.0074,0.0067,-0.0030,0.01
23:44:32:660,-0.0074,0.0163,0.0113,0.02
23:44:32:675,0.0021,0.0164,0.0064,0.02
23:44:32:675,-0.0122,0.0116,0.0064,0.02
23:44:32:680,-0.0074,0.0115,0.0063,0.02
23:44:32:694,-0.0027,0.0115,0.0110,0.02
23:44:32:699,-0.0027,0.0020,0.0015,0.00
23:44:32:706,-0.0076,0.0115,-0.0033,0.01
23:44:32:710,-0.0076,-0.0028,-0.0032,0.01
23:44:32:723,-0.0075,-0.0027,-0.0032,0.01
23:44:32:724,-0.0123,0.0117,-0.0079,0.02
23:44:32:725,0.0020,0.0069,0.0111,0.01
23:44:32:731,-0.0076,0.0069,0.0110,0.02
23:44:32:743,-0.0076,0.0164,0.0014,0.02
23:44:32:744,-0.0171,0.0163,0.0014,0.02
23:44:32:745,-0.0075,0.0067,-0.0033,0.01
23:44:32:764,-0.0122,0.0020,-0.0033,0.01
23:44:32:780,-0.0074,0.0115,0.0063,0.02
23:44:32:798,-0.0121,0.0116,-0.0080,0.02
23:44:32:812,-0.0025,0.0212,0.0063,0.02
23:44:32:813,-0.0073,0.0068,0.0110,0.01
23:44:32:813,-0.0073,0.0068,-0.0081,0.01
23:44:32:825,-0.0121,0.0116,0.0015,0.02
23:44:32:826,-0.0026,0.0116,0.0015,0.01
23:44:32:830,-0.0073,0.0116,-0.0079,0.02
23:44:32:841,0.0023,0.0068,-0.0126,0.01
23:44:32:841,-0.0072,0.0068,0.0017,0.01
23:44:32:846,-0.0119,0.0068,0.0017,0.01
23:44:32:858,-0.0071,0.0163,0.0065,0.02
23:44:32:876,-0.0071,0.0020,-0.0031,0.01
23:44:32:881,-0.0024,0.0069,0.0016,0.01
23:44:32:894,-0.0025,0.0164,-0.0032,0.02
23:44:32:895,-0.0073,0.0068,0.0016,0.01
23:44:32:896,-0.0072,-0.0026,-0.0079,0.01
23:44:32:910,-0.0072,0.0117,-0.0031,0.01
23:44:32:911,-0.0072,0.0116,0.0017,0.01
23:44:32:912,-0.0120,0.0116,0.0017,0.02
23:44:32:925,-0.0120,0.0116,-0.0031,0.02
23:44:32:925,-0.0119,0.0069,-0.0078,0.02
23:44:32:926,-0.0024,0.0069,0.0018,0.01
23:44:32:940,-0.0120,0.0164,0.0065,0.02
23:44:32:941,-0.0120,0.0068,-0.0078,0.02
23:44:32:942,-0.0119,0.0021,-0.0125,0.02
23:44:32:946,-0.0024,-0.0026,0.0019,0.00
23:44:32:957,-0.0120,0.0070,-0.0029,0.01
23:44:32:958,-0.0071,0.0070,-0.0076,0.01
23:44:32:962,-0.0023,0.0070,0.0019,0.01
23:44:32:975,-0.0118,0.0070,0.0019,0.01
23:44:32:976,-0.0023,0.0166,0.0067,0.02
23:44:32:976,-0.0023,0.0117,0.0019,0.01
23:44:32:994,-0.0119,0.0164,0.0018,0.02
23:44:33:014,-0.0071,0.0115,0.0066,0.02
23:44:33:030,-0.0120,-0.0026,-0.0030,0.01
23:44:33:046,-0.0026,-0.0025,-0.0028,0.00
23:44:33:063,-0.0027,0.0025,0.0020,0.00
23:44:33:078,-0.0076,-0.0022,0.0067,0.01
23:44:33:093,-0.0027,0.0169,0.0115,0.02
23:44:33:094,-0.0075,0.0074,0.0019,0.01
23:44:33:097,-0.0075,0.0121,-0.0124,0.02
23:44:33:109,-0.0075,0.0121,0.0067,0.02
23:44:33:131,-0.0170,-0.0022,0.0067,0.02
