# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 50 Hz
# Recording started at: 2025-11-06 23:57:27.431
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.014144,0.0064,-0.6071,-0.0155,0.61
0.032720,0.0018,-0.6104,-0.0109,0.61
0.047221,0.0114,-0.6139,-0.0109,0.61
0.063106,0.0067,-0.6126,-0.0062,0.61
0.079782,0.0068,-0.6113,-0.0111,0.61
0.096562,0.0069,-0.6004,-0.0160,0.60
0.114117,0.0069,-0.6086,-0.0065,0.61
0.130452,0.0117,-0.6024,-0.0066,0.60
0.147681,0.0117,-0.6010,-0.0210,0.60
0.164230,0.0070,-0.5997,-0.0020,0.60
0.181029,0.0118,-0.6031,-0.0069,0.60
0.198208,0.0070,-0.5876,-0.0213,0.59
0.215142,0.0070,-0.5958,-0.0166,0.60
0.232248,0.0118,-0.5945,-0.0119,0.59
0.249242,0.0119,-0.5979,-0.0168,0.60
0.265637,0.0072,-0.5919,-0.0073,0.59
0.283003,0.0024,-0.5907,-0.0121,0.59
0.299753,0.0025,-0.5942,-0.0170,0.59
0.319250,0.0122,-0.5881,-0.0171,0.59
0.332962,0.0074,-0.5916,-0.0124,0.59
0.350307,0.0121,-0.5807,-0.0125,0.58
0.366537,0.0075,-0.5889,-0.0125,0.59
0.383401,0.0074,-0.5829,-0.0174,0.58
0.400073,0.0027,-0.5863,-0.0223,0.59
0.417157,0.0075,-0.5804,-0.0128,0.58
0.434240,0.0074,-0.5696,-0.0176,0.57
0.451098,0.0074,-0.5780,-0.0129,0.58
0.467708,0.0027,-0.5814,-0.0130,0.58
0.484979,0.0075,-0.5754,-0.0131,0.58
0.502150,0.0123,-0.5741,-0.0180,0.57
0.518284,0.0028,-0.5728,-0.0180,0.57
0.534952,0.0028,-0.5668,-0.0085,0.57
0.551804,0.0028,-0.5751,-0.0182,0.58
0.568821,0.0077,-0.5738,-0.0135,0.57
0.587211,0.0126,-0.5677,-0.0136,0.57
0.602565,0.0079,-0.5758,-0.0184,0.58
0.620157,0.0128,-0.5651,-0.0137,0.57
0.636760,0.0081,-0.5591,-0.0090,0.56
0.655756,0.0129,-0.5579,-0.0139,0.56
0.671149,0.0128,-0.5612,-0.0187,0.56
0.688868,0.0080,-0.5647,-0.0093,0.56
0.703837,0.0030,-0.5586,-0.0189,0.56
0.721687,0.0077,-0.5573,-0.0142,0.56
0.738580,0.0078,-0.5514,-0.0143,0.55
0.755601,0.0030,-0.5549,-0.0239,0.56
0.771602,0.0077,-0.5536,-0.0240,0.55
0.788382,0.0078,-0.5476,-0.0241,0.55
0.805148,0.0077,-0.5511,-0.0098,0.55
0.828569,0.0125,-0.5498,-0.0099,0.55
0.844274,0.0029,-0.5485,-0.0147,0.55
0.856286,0.0077,-0.5473,-0.0244,0.55
0.873221,0.0076,-0.5462,-0.0101,0.55
0.895396,0.0077,-0.5449,-0.0149,0.55
0.910521,0.0123,-0.5485,-0.0150,0.55
0.929174,0.0028,-0.5427,-0.0151,0.54
0.944651,0.0076,-0.5413,-0.0199,0.54
0.961921,0.0029,-0.5353,-0.0152,0.54
0.978277,0.0075,-0.5388,-0.0201,0.54
0.995507,0.0027,-0.5378,-0.0153,0.54
1.012925,0.0075,-0.5317,-0.0250,0.53
1.027823,0.0075,-0.5353,-0.0251,0.54
1.045541,0.0123,-0.5340,-0.0156,0.53
1.061464,0.0076,-0.5327,-0.0252,0.53
1.080607,0.0075,-0.5362,-0.0109,0.54
1.097339,0.0076,-0.5348,-0.0206,0.54
1.114445,0.0076,-0.5336,-0.0206,0.53
1.131565,0.0076,-0.5371,-0.0159,0.54
1.145940,0.0028,-0.5217,-0.0160,0.52
1.162494,0.0028,-0.5299,-0.0161,0.53
1.179537,0.0075,-0.5239,-0.0161,0.52
1.197044,0.0075,-0.5274,-0.0162,0.53
1.211824,0.0075,-0.5120,-0.0163,0.51
1.228817,0.0075,-0.5251,-0.0163,0.53
1.245345,0.0075,-0.5143,-0.0212,0.51
1.262474,0.0027,-0.5132,-0.0117,0.51
1.279563,0.0074,-0.5121,-0.0165,0.51
1.296048,0.0026,-0.5109,-0.0262,0.51
1.312418,0.0121,-0.5194,-0.0262,0.52
1.328571,0.0074,-0.5134,-0.0119,0.51
1.346010,0.0074,-0.5169,-0.0216,0.52
1.362910,0.0075,-0.5061,-0.0216,0.51
1.379315,0.0075,-0.5049,-0.0265,0.51
1.396371,0.0123,-0.5083,-0.0218,0.51
1.413041,0.0077,-0.5118,-0.0171,0.51
1.429870,0.0077,-0.5058,-0.0219,0.51
1.447433,0.0125,-0.4952,-0.0172,0.50
1.463721,0.0077,-0.5084,-0.0220,0.51
1.480193,0.0076,-0.5073,-0.0221,0.51
1.497324,0.0077,-0.4966,-0.0222,0.50
1.513550,0.0028,-0.5001,-0.0174,0.50
1.530328,0.0077,-0.4990,-0.0175,0.50
1.547038,0.0123,-0.5025,-0.0176,0.50
1.564857,0.0123,-0.5013,-0.0176,0.50
1.581259,0.0124,-0.4906,-0.0129,0.49
1.598262,0.0125,-0.4893,-0.0226,0.49
1.615399,0.0077,-0.4979,-0.0226,0.50
1.631895,0.0124,-0.4966,-0.0227,0.50
1.649493,0.0077,-0.4857,-0.0227,0.49
1.666311,0.0076,-0.4894,-0.0228,0.49
1.682902,0.0075,-0.4930,-0.0277,0.49
1.699589,0.0123,-0.4870,-0.0181,0.49
1.716594,0.0123,-0.4858,-0.0134,0.49
1.733488,0.0075,-0.4797,-0.0183,0.48
1.750107,0.0076,-0.4834,-0.0183,0.48
1.767451,0.0076,-0.4872,-0.0184,0.49
1.783619,0.0122,-0.4812,-0.0184,0.48
1.800707,-0.0021,-0.4848,-0.0185,0.49
1.817409,0.0073,-0.4789,-0.0281,0.48
1.834203,0.0072,-0.4824,-0.0186,0.48
1.851400,0.0072,-0.4765,-0.0235,0.48
1.868074,0.0167,-0.4705,-0.0283,0.47
1.884870,0.0119,-0.4694,-0.0236,0.47
1.901993,0.0119,-0.4826,-0.0236,0.48
1.919129,0.0072,-0.4719,-0.0189,0.47
1.935653,0.0166,-0.4708,-0.0238,0.47
1.953241,0.0118,-0.4648,-0.0190,0.47
1.969542,0.0071,-0.4636,-0.0287,0.46
1.986551,0.0070,-0.4577,-0.0239,0.46
2.002696,0.0070,-0.4710,-0.0288,0.47
2.019294,0.0023,-0.4651,-0.0193,0.47
2.036606,0.0070,-0.4640,-0.0145,0.46
2.053700,0.0069,-0.4630,-0.0146,0.46
2.070102,0.0068,-0.4619,-0.0290,0.46
2.086820,0.0021,-0.4703,-0.0147,0.47
2.105079,0.0069,-0.4550,-0.0243,0.46
2.122378,0.0069,-0.4587,-0.0196,0.46
2.138538,0.0021,-0.4577,-0.0196,0.46
2.155163,0.0116,-0.4566,-0.0197,0.46
2.171820,0.0116,-0.4556,-0.0245,0.46
2.188102,0.0021,-0.4544,-0.0198,0.45
2.206202,0.0116,-0.4532,-0.0199,0.45
2.223047,0.0067,-0.4474,-0.0151,0.45
2.239397,0.0066,-0.4558,-0.0295,0.46
2.261552,0.0018,-0.4500,-0.0152,0.45
2.278125,0.0065,-0.4490,-0.0201,0.45
2.289529,0.0113,-0.4526,-0.0249,0.45
2.312149,0.0065,-0.4469,-0.0249,0.45
2.325653,0.0065,-0.4507,-0.0202,0.45
2.349010,0.0065,-0.4497,-0.0346,0.45
2.361767,0.0064,-0.4487,-0.0155,0.45
2.378943,0.0064,-0.4428,-0.0299,0.44
2.393524,0.0065,-0.4371,-0.0156,0.44
2.412540,0.0017,-0.4504,-0.0300,0.45
2.428502,0.0065,-0.4447,-0.0157,0.44
2.445959,0.0064,-0.4483,-0.0206,0.45
2.463243,0.0016,-0.4424,-0.0206,0.44
2.479241,0.0016,-0.4414,-0.0207,0.44
2.496064,0.0111,-0.4308,-0.0207,0.43
2.512741,0.0110,-0.4394,-0.0207,0.44
2.529596,0.0062,-0.4383,-0.0112,0.44
2.545887,0.0109,-0.4324,-0.0161,0.43
2.565610,0.0109,-0.4313,-0.0209,0.43
2.582376,0.0060,-0.4304,-0.0209,0.43
2.595570,0.0061,-0.4341,-0.0210,0.43
2.612988,0.0012,-0.4331,-0.0210,0.43
2.630378,0.0059,-0.4369,-0.0259,0.44
2.646786,0.0060,-0.4312,-0.0355,0.43
2.665605,0.0061,-0.4253,-0.0307,0.43
2.678923,0.0013,-0.4242,-0.0212,0.42
2.697130,0.0108,-0.4232,-0.0213,0.42
2.712552,0.0012,-0.4223,-0.0165,0.42
2.729926,0.0107,-0.4259,-0.0214,0.43
2.746789,0.0156,-0.4202,-0.0214,0.42
2.765067,0.0061,-0.4191,-0.0262,0.42
2.779116,0.0061,-0.4229,-0.0215,0.42
2.796168,0.0108,-0.4171,-0.0168,0.42
2.813133,0.0061,-0.4160,-0.0216,0.42
2.830181,0.0013,-0.4151,-0.0264,0.42
2.846780,0.0061,-0.4141,-0.0265,0.42
2.863996,0.0205,-0.4084,-0.0313,0.41
2.880621,0.0108,-0.4170,-0.0266,0.42
2.897388,0.0061,-0.4112,-0.0122,0.41
2.982117,0.0107,-0.4102,-0.0266,0.41
3.002861,0.0058,-0.4092,-0.0219,0.41
3.015896,0.0106,-0.4082,-0.0267,0.41
3.031649,0.0059,-0.4072,-0.0268,0.41
3.048588,0.0058,-0.4063,-0.0220,0.41
3.065719,0.0106,-0.4100,-0.0317,0.41
3.082811,0.0106,-0.4042,-0.0269,0.41
3.099564,0.0106,-0.4033,-0.0222,0.40
3.116629,0.0010,-0.4070,-0.0222,0.41
3.133865,0.0058,-0.4014,-0.0223,0.40
3.151142,0.0058,-0.4052,-0.0223,0.41
3.167024,0.0106,-0.3994,-0.0271,0.40
3.183869,0.0058,-0.3985,-0.0224,0.40
3.201515,0.0011,-0.4024,-0.0272,0.40
3.217549,0.0105,-0.4014,-0.0320,0.40
3.234922,0.0057,-0.3908,-0.0225,0.39
3.252072,0.0009,-0.3946,-0.0225,0.40
3.268443,0.0056,-0.3936,-0.0226,0.39
3.285602,0.0104,-0.3927,-0.0226,0.39
3.301934,0.0056,-0.3918,-0.0179,0.39
3.319218,0.0056,-0.3910,-0.0179,0.39
3.335946,0.0055,-0.3902,-0.0179,0.39
3.352408,0.0007,-0.3988,-0.0228,0.40
3.369126,0.0006,-0.3835,-0.0276,0.38
3.386301,0.0053,-0.3874,-0.0228,0.39
3.403646,0.0006,-0.3866,-0.0277,0.39
3.419864,0.0053,-0.3904,-0.0229,0.39
3.436870,0.0051,-0.3848,-0.0277,0.39
3.454154,0.0050,-0.3838,-0.0326,0.39
3.470184,0.0049,-0.3831,-0.0278,0.38
3.487136,0.0095,-0.3822,-0.0231,0.38
3.503688,0.0095,-0.3813,-0.0279,0.38
3.520875,0.0095,-0.3850,-0.0279,0.39
3.537907,0.0095,-0.3843,-0.0280,0.39
3.554799,0.0045,-0.3832,-0.0280,0.38
3.572127,0.0044,-0.3776,-0.0232,0.38
3.592051,0.0044,-0.3767,-0.0233,0.38
3.606580,0.0093,-0.3758,-0.0185,0.38
3.622699,0.0092,-0.3749,-0.0234,0.38
3.639471,0.0044,-0.3740,-0.0186,0.37
3.656508,0.0043,-0.3732,-0.0234,0.37
3.673434,0.0091,-0.3722,-0.0235,0.37
3.690469,0.0042,-0.3713,-0.0235,0.37
3.707287,0.0090,-0.3704,-0.0235,0.37
3.731019,0.0090,-0.3742,-0.0236,0.38
3.748041,0.0090,-0.3685,-0.0236,0.37
3.774789,0.0041,-0.3716,-0.0285,0.37
3.799429,0.0041,-0.3706,-0.0237,0.37
3.814539,0.0089,-0.3649,-0.0238,0.37
3.830205,0.0041,-0.3641,-0.0238,0.36
3.846868,0.0088,-0.3633,-0.0238,0.36
3.864980,0.0039,-0.3624,-0.0239,0.36
3.880368,0.0038,-0.3614,-0.0239,0.36
